src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h28,100.586,0
h1,h29,95.648,0
h1,h30,102.984,0
h1,h31,101.220,0
h1,h32,95.607,0
h1,h33,96.010,0
h1,h34,96.665,0
h1,h35,104.972,0
h1,h36,104.453,0
h1,h37,104.539,0
h1,h38,97.761,0
h1,h39,103.612,0
h1,h2,96.947,0
h1,h3,96.419,0
h1,h4,98.335,0
h1,h5,92.676,0
h1,h6,95.671,0
h1,h7,94.086,0
h1,h8,97.337,0
h1,h9,93.947,0
h1,h10,99.849,0
h1,h11,96.880,0
h1,h12,94.018,0
h1,h13,107.271,0
h1,h14,94.340,0
h1,h15,95.294,0
h1,h16,93.643,0
h1,h17,100.052,0
h1,h18,100.064,0
h1,h19,97.498,0
h1,h20,96.981,0
h1,h21,94.956,0
h1,h22,94.387,0
h1,h23,95.697,0
h1,h24,97.382,0
h1,h25,93.066,0
h1,h26,101.132,0
h1,h27,101.288,0
h1,h28,93.266,0
h1,h29,92.402,0
h1,h30,94.739,0
h1,h31,96.962,0
h1,h32,94.905,0
h1,h33,93.414,0
h1,h34,92.448,0
h1,h35,91.320,0
h1,h36,90.344,0
h1,h37,91.982,0
h1,h38,109.429,0
h1,h39,94.732,0
h1,h2,100.089,0
h1,h3,99.991,0
h1,h4,110.501,0
h1,h5,103.784,0
h1,h6,94.215,0
h1,h7,106.384,0
h1,h8,105.565,0
h1,h9,95.491,0
h1,h10,105.589,0
h1,h11,94.423,0
h1,h12,111.557,0
h1,h13,95.275,0
h1,h14,96.814,0
h1,h15,91.854,0
h1,h16,96.677,0
h1,h17,109.032,0
h1,h18,93.641,0
h1,h19,106.753,0
h1,h20,95.497,0
h1,h21,108.890,0
h1,h22,108.287,0
h1,h23,101.326,0
h1,h24,97.661,0
h1,h25,91.942,0
h1,h26,112.704,0
h1,h27,98.522,0
h1,h28,93.925,0
h1,h29,92.705,0
h1,h30,94.525,0
h1,h31,94.248,0
h1,h32,107.276,0
h1,h33,94.207,0
h1,h34,99.364,0
h1,h35,92.282,0
h1,h36,101.243,0
h1,h37,107.758,0
h1,h38,97.426,0
