timestep,action_taken,sel_ip_hosts,c_ip_hosts,ip_top1_host,ip_top1_score,ip_top1_r_i,ip_top1_T_i,ip_top1_kappa,ip_top1_A_i,ip_mean_score,ip_mean_r_i,ip_mean_T_i,ip_mean_kappa,sel_rrm_pairs,c_rrm_pairs,rrm_top1_pair,rrm_top1_score,rrm_top1_r_f,rrm_top1_phi_f,rrm_top1_kappa_f,rrm_top1_A_f,rrm_mean_score,rrm_mean_r_f,rrm_mean_phi_f,rrm_mean_kappa_f
3930,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.421,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.5355
3936,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.421,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.5355
3942,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.421,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.5355
3948,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.421,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.5355
3954,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.421,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.5355
3960,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7475,0.5,1.0,0.585,2,1.77075,0.15,1.0,0.513
3966,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
3972,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
3978,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
3984,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
3990,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
3996,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4002,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4008,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4014,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4020,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4026,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4032,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4038,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4044,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4050,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4056,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.635,0.5,1.0,0.51,2,1.75275,0.15,1.0,0.513
4062,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4068,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4074,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4080,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4086,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4092,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4098,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4104,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4110,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4116,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4122,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4128,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4134,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4140,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4146,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.76725,0.15,1.0,0.513
4152,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4158,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4164,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4170,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4176,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4182,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4188,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.76725,0.15,1.0,0.513
4194,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4200,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4206,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.76175,0.15,1.0,0.513
4212,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4218,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4224,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4230,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4236,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4242,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.8375,0.5,1.0,0.585,2,1.77075,0.15,1.0,0.513
4248,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.76725,0.15,1.0,0.513
4254,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4260,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4266,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4272,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.75825,0.15,1.0,0.513
4278,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4284,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4290,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4296,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4302,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4308,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.74025,0.15,1.0,0.513
4314,route,none,none,h30,-0.13636,0.0,0.0,0.37,10,-0.13636,0.0,0.0,0.376,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.74925,0.15,1.0,0.513
4320,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
4326,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
4332,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
4338,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
4344,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
4350,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
4356,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
4362,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
4368,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
4374,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
4380,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.747,0.15,1.0,0.525
4386,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.7595,0.15,1.0,0.525
4392,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h30;h1-h32;h1-h31,h1-h30;h1-h32;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h30,2.6675,0.5,1.0,0.555,1,1.756,0.15,1.0,0.525
4398,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.7125,0.5,1.0,0.585,1,1.765,0.15,1.0,0.525
4404,route,none,none,h30,-0.13636,0.0,0.0,0.46,10,-0.13636,0.0,0.0,0.4,h1-h32;h1-h30;h1-h31,h1-h32;h1-h30;h1-h31;h1-h33;h1-h34;h1-h35;h1-h36;h1-h37;h1-h38;h1-h39,h1-h32,2.6225,0.5,1.0,0.585,1,1.756,0.15,1.0,0.525
